sector,impact,proxy,difference,ratio,account
Construction work (45),10834418912.021809,11526871093.02322,692452181.0014114,1.0639122583891483,CBA
Real estate services (70),7812964859.283652,8359398480.492111,546433621.2084589,1.0699393419847738,CBA
Steam and hot water supply services,4360999489.062791,4387880426.721233,26880937.658442497,1.006163939648665,CBA
Machinery and equipment n.e.c. (29),4178177664.550045,4362753911.546871,184576246.99682617,1.0441762562092254,CBA
Food products nec,4142378765.665635,4293757546.608198,151378780.94256306,1.0365439254848627,CBA
Supporting and auxiliary transport services; travel agency services (63),4146252912.6305966,4233810980.5938783,87558067.96328163,1.0211173967937548,CBA
Hotel and restaurant services (55),4042972740.484787,4207704720.6560493,164731980.17126226,1.040745261159369,CBA
"Motor vehicles, trailers and semi-trailers (34)",3197846636.7505836,3338092255.0596724,140245618.3090887,1.0438562677450962,CBA
Dairy products,3161595456.3165298,3314968523.6452346,153373067.32870483,1.0485112878759622,CBA
Air transport services (62),2721671699.9356604,2756372123.9416184,34700424.00595808,1.0127496729332852,CBA
Motor Gasoline,2398427295.3997726,2555965999.30042,157538703.90064716,1.0656841690397743,CBA
Products of meat cattle,2313847616.0860977,2392795750.749127,78948134.6630292,1.0341198504664586,CBA
Health and social work services (85),2084266630.8349621,2169615636.0156317,85349005.18066955,1.0409491779592894,CBA
Computer and related services (72),2005673189.2543194,2077318996.0294619,71645806.77514243,1.0357215757577032,CBA
"Fabricated metal products, except machinery and equipment (28)",1808949547.1707685,1885600014.4385595,76650467.26779103,1.0423729160316682,CBA
Public administration and defence services; compulsory social security services (75),1757211575.4525733,1828819416.731274,71607841.27870059,1.0407508363130704,CBA
Furniture; other manufactured goods n.e.c. (36),1500805164.48966,1572765255.5793202,71960091.08966017,1.0479476568926451,CBA
Electrical machinery and apparatus n.e.c. (31),1342612930.8389509,1396090736.771276,53477805.932325125,1.0398311417266841,CBA
"Plastics, basic",1237681481.5434945,1330822574.2026105,93141092.65911603,1.0752544932182075,CBA
Textiles (17),1233493827.819233,1303149829.4651701,69656001.6459372,1.0564704906299258,CBA
Education services (80),1179820310.85144,1228303767.734363,48483456.882923126,1.0410939330650564,CBA
Research and development services (73),1104349307.1418145,1158306265.37308,53956958.231265545,1.0488585974404352,CBA
