raw_row,factor,cba_total_weighted,pba_total_weighted,cba_share_of_proxy_total,pba_share_of_proxy_total
CO2 - combustion - air,1.0,58293284348.48178,32383938665.514168,0.6192944731675885,0.6019146571477734
CH4 - agriculture - air,28.0,8217790046.031377,3569988904.193525,0.08730391526294917,0.06635476522740885
N2O - agriculture - air,265.0,5998854063.312083,3539600591.545514,0.06373044868323431,0.06578994292528706
CH4 - waste - air,28.0,5090880271.509329,7995712102.982039,0.054084343521566415,0.1486149155242764
CH4 - non combustion - Extraction/production of crude oil - air,28.0,4948461596.480103,6597258.28337055,0.05257132020666466,0.0001226220966747018
HFC - air,1.0,3041294840.8389187,1797427795.025507,0.03231001833667821,0.033408479004525024
CO2 - non combustion - Cement production - air,1.0,2613330696.913031,1640238916.5042188,0.02776342549996659,0.03048683655393147
CH4 - non combustion - Extraction/production of (natural) gas - air,28.0,1062551080.7085298,90970615.6282582,0.011288298799691477,0.0016908550711502999
CH4 - non combustion - Mining of bituminous coal - air,28.0,1017898386.2940297,29515.45644923129,0.010813918823129709,5.485986751857941e-07
CO2 - non combustion - Lime production - air,1.0,992062494.2433733,715003455.67846,0.01053944423595983,0.01328964534948548
N2O - combustion - air,265.0,644184745.6592329,815464734.3313656,0.006843670881550214,0.015156901729926456
CO2 - agriculture - peat decay - air,1.0,577069305.7012897,631437973.3485241,0.006130651852090642,0.01173642820794069
CH4 - combustion - air,28.0,422334812.9911547,427341056.3191125,0.004486788116931708,0.00794291417286446
PFC - air,1.0,376655749.64152706,85567436.97790428,0.004001504232380205,0.001590427125728723
CH4 - non combustion - Oil refinery - air,28.0,314766371.6000013,101615718.00834885,0.0033440056852101713,0.0018887137447229042
CH4 - non combustion - Mining of coking coal - air,28.0,280651482.51128244,35260.06227668922,0.0029815769337425235,6.553726683926683e-07
CH4 - non combustion - Mining of sub-bituminous coal - air,28.0,172914079.87981087,30475.578062236364,0.001836999496584631,5.664442892564364e-07
CH4 - non combustion - Mining of antracite - air,28.0,34503518.22121909,144218.5318804907,0.0003665574581713319,2.6805648648180736e-06
CH4 - non combustion - Mining of lignite (brown coal) - air,28.0,27965363.804347143,135539.57548607778,0.0002970976063146487,2.5192506060276018e-06
CO2 - waste - fossil - air,1.0,1086356.2632383234,265020.3431290449,1.1541199595009774e-05,4.925887200421907e-06
