indicator,source_region,source_sector,reconstructed_total,model_total,min_contribution,max_contribution,negative_contribution_count,reference_total,share_sum,abs_difference,relative_difference,passes_model_total_check,difference_to_reference,relative_difference_to_reference,passes_reference_check,share_sum_difference_from_1,passes_share_sum_check
economic_importance,SE,Computer and related services (72),26654.255564794363,26654.255564794363,0.2710542609134408,18624.86283005141,0,26654.255564790543,1.0,0.0,0.0,True,3.819877747446299e-09,1.4331211532661376e-13,True,0.0,True
economic_importance,SE,Construction work (45),34933.69586474159,34933.69586474158,0.04875376239822781,33309.904707234586,0,34933.695864725545,1.0000000000000002,7.275957614183426e-12,2.0827906793357689e-16,True,1.6043486539274454e-08,4.592553447937479e-13,True,2.220446049250313e-16,True
economic_importance,SE,Education services (80),26784.14364448198,26784.14364448198,0.013025341793665103,26195.121012216303,0,26784.14364451374,1.0,0.0,0.0,True,-3.1759554985910654e-08,-1.1857595825138893e-12,True,0.0,True
economic_importance,SE,Health and social work services (85),53334.147824786414,53334.147824786414,0.006625345936786525,52813.37861168634,0,53334.147824740234,1.0,0.0,0.0,True,4.6180502977222204e-08,8.658712074855792e-13,True,0.0,True
economic_importance,SE,Other business services (74),47257.832623011964,47257.832623011964,1.2789624365033807,25828.078513146495,0,47257.832623004484,1.0,0.0,0.0,True,7.479684427380562e-09,1.5827396247832895e-13,True,0.0,True
ghg,SE,Basic iron and steel and of ferro-alloys and first products thereof,2400098735.5319223,2400098735.5319223,45380.25456389944,328745540.6753545,0,2400098735.53092,1.0,0.0,0.0,True,0.0010023117065429688,4.176126972214957e-13,True,0.0,True
ghg,SE,Food waste for treatment: landfill,3781346327.3304443,3781346327.3304443,127064.45770826837,1336103181.7317638,0,3781346327.334503,0.9999999999999999,0.0,0.0,True,-0.004058837890625,-1.0733843290905603e-12,True,-1.1102230246251565e-16,True
ghg,SE,Paper for treatment: landfill,2890669470.9351516,2890669470.935151,78088.13589497822,583851471.6670845,0,2890669470.936008,1.0000000000000002,4.76837158203125e-07,1.6495734396394512e-16,True,-0.0008563995361328125,-2.962633897591576e-13,True,2.220446049250313e-16,True
ghg,SE,Sea and coastal water transportation services,2850031752.522581,2850031752.522581,119461.25925884797,771761684.8849249,0,2850031752.521745,1.0,0.0,0.0,True,0.0008358955383300781,2.9329341246477935e-13,True,0.0,True
ghg,SE,Steam and hot water supply services,5535877320.738844,5535877320.738844,9415.548334253477,5216556006.915893,0,5535877320.749322,1.0,0.0,0.0,True,-0.010478019714355469,-1.892747817059138e-12,True,0.0,True
materials,SE,Copper ores and concentrates,25079.42413220239,25079.424132202395,0.3159976282757111,8415.724625544528,0,25079.424132211276,0.9999999999999999,-3.637978807091713e-12,-1.450583070773339e-16,True,-8.883944246917963e-09,-3.5423238588272393e-13,True,-1.1102230246251565e-16,True
materials,SE,Iron ores,40887.904796727125,40887.90479672713,2.1549495176992477,6045.672545505523,0,40887.904796674324,0.9999999999999999,-7.275957614183426e-12,-1.7794889834428076e-16,True,5.280162440612912e-08,1.2913751552861134e-12,True,-1.1102230246251565e-16,True
materials,SE,"Products of forestry, logging and related services (02)",32617.492949429863,32617.492949429863,0.24598354427340938,20499.280374321184,0,32617.49294939127,1.0,0.0,0.0,True,3.859167918562889e-08,1.183158964593234e-12,True,0.0,True
materials,SE,Sand and clay,18744.51306885209,18744.51306885209,0.1035385507424702,14858.008161784457,0,18744.51306879768,1.0,0.0,0.0,True,5.440961103886366e-08,2.9026953561911665e-12,True,0.0,True
materials,SE,Stone,37734.419500380405,37734.419500380405,0.10190488095539899,33163.3273162484,0,37734.41950021852,0.9999999999999999,0.0,0.0,True,1.6188278095796704e-07,4.2900562166334525e-12,True,-1.1102230246251565e-16,True
