account,indicator,region,sector,value,share_of_region_total,rank,unit,definition
CBA,economic_importance,SE,Health and social work services (85),60441.090481220104,0.12468795087059958,1,M.EUR,factor_inputs
CBA,economic_importance,SE,Construction work (45),57700.66586218674,0.11903454641442446,2,M.EUR,factor_inputs
CBA,economic_importance,SE,Real estate services (70),45701.911287205665,0.09428151649649998,3,M.EUR,factor_inputs
CBA,economic_importance,SE,Education services (80),31241.35660378682,0.06444987518142505,4,M.EUR,factor_inputs
CBA,economic_importance,SE,Computer and related services (72),25365.89277972932,0.052328989558693015,5,M.EUR,factor_inputs
CBA,economic_importance,SE,Public administration and defence services; compulsory social security services (75),22909.817870477713,0.04726218905623631,6,M.EUR,factor_inputs
CBA,economic_importance,SE,Membership organisation services n.e.c. (91),20456.75807747169,0.0422016086378864,7,M.EUR,factor_inputs
CBA,economic_importance,SE,Supporting and auxiliary transport services; travel agency services (63),20138.603056772055,0.041545265456875174,8,M.EUR,factor_inputs
CBA,economic_importance,SE,Hotel and restaurant services (55),16414.736724983635,0.03386305359521154,9,M.EUR,factor_inputs
CBA,economic_importance,SE,Post and telecommunication services (64),13404.08188506819,0.027652173219313132,10,M.EUR,factor_inputs
CBA,economic_importance,SE,Machinery and equipment n.e.c. (29),12026.282055027805,0.02480981818981585,11,M.EUR,factor_inputs
CBA,economic_importance,SE,"Recreational, cultural and sporting services (92)",10887.575563313369,0.022460704731331205,12,M.EUR,factor_inputs
CBA,economic_importance,SE,"Motor vehicles, trailers and semi-trailers (34)",9774.524347358338,0.020164517249826645,13,M.EUR,factor_inputs
CBA,economic_importance,SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",9514.321778750771,0.019627728041812193,14,M.EUR,factor_inputs
CBA,economic_importance,SE,Food products nec,7871.277603240858,0.016238182787034566,15,M.EUR,factor_inputs
CBA,economic_importance,SE,Research and development services (73),6942.47920328075,0.014322102710701374,16,M.EUR,factor_inputs
CBA,economic_importance,SE,Other land transportation services,6785.173014320702,0.013997585297058978,17,M.EUR,factor_inputs
CBA,economic_importance,SE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",6274.310589390802,0.012943693177738485,18,M.EUR,factor_inputs
CBA,economic_importance,SE,"Insurance and pension funding services, except compulsory social security services (66)",6119.072052321356,0.01262344126088478,19,M.EUR,factor_inputs
CBA,economic_importance,SE,"Financial intermediation services, except insurance and pension funding services (65)",5714.13976395145,0.0117880794751163,20,M.EUR,factor_inputs
CBA,economic_importance,SE,Furniture; other manufactured goods n.e.c. (36),4572.128163270206,0.009432147687227034,21,M.EUR,factor_inputs
CBA,economic_importance,SE,"Fabricated metal products, except machinery and equipment (28)",4053.147682015561,0.008361508288859697,22,M.EUR,factor_inputs
