indicator,target_region,target_sector,reconstructed_total,model_total,min_contribution,max_contribution,negative_contribution_count,reference_total,share_sum,abs_difference,relative_difference,passes_model_total_check,difference_to_reference,relative_difference_to_reference,passes_reference_check,share_sum_difference_from_1,passes_share_sum_check
economic_importance,SE,Computer and related services (72),37398.323859682474,37398.323859682474,8.55102912617097,27193.964938921752,0,37398.323859682496,0.9999999999999999,0.0,0.0,True,-2.1827872842550278e-11,-5.836591213137751e-16,True,-1.1102230246251565e-16,True
economic_importance,SE,Construction work (45),78459.54521176811,78459.54521176811,15.5158513621149,59410.562035466835,0,78459.54521176819,1.0,0.0,0.0,True,-7.275957614183426e-11,-9.273514898085467e-16,True,0.0,True
economic_importance,SE,Education services (80),44026.65711705812,44026.657117058116,7.45408340796172,37047.83644366265,0,44026.657117058145,1.0000000000000002,7.275957614183426e-12,1.6526254979654948e-16,True,-2.1827872842550278e-11,-4.957876493896481e-16,True,2.220446049250313e-16,True
economic_importance,SE,Health and social work services (85),52752.347422089006,52752.347422089006,6.046996074388565,46063.56468572419,0,52752.34742208897,1.0,0.0,0.0,True,3.637978807091713e-11,6.8963353952442e-16,True,0.0,True
economic_importance,SE,Public administration and defence services; compulsory social security services (75),31643.410611074713,31643.410611074713,8.024259921889584,25592.5507247703,0,31643.410611074683,1.0,0.0,0.0,True,2.9103830456733704e-11,9.197437916678878e-16,True,0.0,True
ghg,SE,Dairy products,109773686615.16704,109773686615.16707,29121.412425742128,106526538900.61465,0,109773686615.16708,0.9999999999999998,-3.0517578125e-05,-2.7800449329888394e-16,True,-4.57763671875e-05,-4.1700673994832585e-16,True,-2.220446049250313e-16,True
ghg,SE,Food products nec,55472325416.55977,55472325416.55978,55589.88523445704,53022282857.35993,0,55472325416.5597,1.0,-7.62939453125e-06,-1.3753514881444737e-16,True,6.866455078125e-05,1.237816339330028e-15,True,0.0,True
ghg,SE,Hotel and restaurant services (55),117762802816.76047,117762802816.76047,201260.0904760475,116466135334.5459,0,117762802816.76036,1.0,0.0,0.0,True,0.0001068115234375,9.070056153783922e-16,True,0.0,True
ghg,SE,Public administration and defence services; compulsory social security services (75),47155159828.737526,47155159828.737526,260548.1318955139,46300413465.1752,0,47155159828.73745,1.0,0.0,0.0,True,7.62939453125e-05,1.6179341898021666e-15,True,0.0,True
ghg,SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",57836118260.674416,57836118260.67441,170372.196123894,57310103917.59858,0,57836118260.67436,1.0000000000000002,7.62939453125e-06,1.319140142992203e-16,True,5.340576171875e-05,9.233981000945427e-16,True,2.220446049250313e-16,True
materials,SE,Construction work (45),98092.27165659427,98092.27165659427,18.263129760885867,75944.00245399598,0,98092.27165659427,0.9999999999999999,0.0,0.0,True,0.0,0.0,True,-1.1102230246251565e-16,True
materials,SE,Food products nec,12670.32625263327,12670.326252633267,0.29900330783308265,4257.714781197922,0,12670.326252633284,1.0000000000000002,1.8189894035458565e-12,1.4356294915198547e-16,True,-1.4551915228366852e-11,-1.1485035932158824e-15,True,2.220446049250313e-16,True
materials,SE,"Motor vehicles, trailers and semi-trailers (34)",6985.453600291118,6985.453600291119,0.2717034193054961,1219.9150889833247,0,6985.45360029112,0.9999999999999999,-9.094947017729282e-13,-1.3019837419505942e-16,True,-1.8189894035458565e-12,-2.6039674839011884e-16,True,-1.1102230246251565e-16,True
materials,SE,Precious metal ores and concentrates,23100.553768478614,23100.55376847861,0.1811667134659082,20505.234348699796,0,23100.55376847858,1.0000000000000002,3.637978807091713e-12,1.5748448472503038e-16,True,3.2741809263825417e-11,1.4173603625252753e-15,True,2.220446049250313e-16,True
materials,SE,Products of meat cattle,7352.273912002666,7352.273912002666,0.06821874876668847,4567.367218727449,0,7352.273912002672,1.0,0.0,0.0,True,-5.4569682106375694e-12,-7.422150311523359e-16,True,0.0,True
