target_region,target_sector,source_country,source_value,source_share,model_total,residual_to_model_total,indicator,target_sector_value,unit
SE,Construction work (45),SE,59410.562035466835,0.7572126740616879,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),NO,1852.7106453553984,0.023613578696572806,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),DE,1800.361905113558,0.022946371920130916,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),GB,1464.4778188074367,0.018665387555519254,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),US,1447.1366865604264,0.018444367510090678,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),WA,1130.5283727750489,0.014409060997277887,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),CN,1024.3908433487697,0.01305629341317061,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),DK,890.8454676730888,0.011354201267272592,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),NL,886.5439115822224,0.011299376120386307,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),FR,733.8859605609795,0.009353686139527919,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),FI,675.5664117757545,0.008610378889558318,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),TW,596.3207408998695,0.007600359386360904,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),PL,544.7217449594484,0.006942708417302244,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),BE,452.0239299804242,0.0057612356630462,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),IE,382.59922919422854,0.004876388566382394,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),ES,366.40335161550223,0.0046699652747992934,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),IT,355.7984241565147,0.004534801000900381,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),KR,353.5235649700303,0.004505806960973888,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),WM,342.2454995021441,0.00436206325920445,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),CH,320.2069583073829,0.004081172755247569,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),JP,256.4402709121583,0.003268439425948839,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),IN,241.84405040239153,0.0030824044384865673,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),RU,226.07605303810158,0.0028814346607274562,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),CA,223.6589410749745,0.002850627549156734,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),BR,222.2682972081017,0.0028329032064637024,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),WF,207.26290677376545,0.002641653175714281,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),AU,193.1074046248073,0.0024612353296669786,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),AT,181.3592186017564,0.0023114997431128927,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),EE,172.86921903406957,0.002203291117320178,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),LV,158.9650314874807,0.002026076381891105,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),WE,138.05468396560866,0.0017595651821966194,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),WL,128.64301292376442,0.001639609464680778,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),CZ,126.41653276548034,0.0016112320358762312,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),HU,120.27944920732597,0.0015330123171461527,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),LU,101.01469708506828,0.001287474924974675,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),TR,96.80013130905071,0.0012337585063459137,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),LT,82.2593063687587,0.0010484295587838898,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),GR,76.87357835105938,0.0009797861833582124,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),RO,70.1220235093773,0.0008937347689196105,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),ID,59.944439611184336,0.000764017168967649,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),PT,56.697437539309746,0.0007226327578917157,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),MX,46.51507505754739,0.0005928542528764316,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),HR,44.557782495260454,0.0005679077335331948,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),ZA,43.70264983693256,0.0005570087070856181,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),MT,41.561215892894424,0.0005297152281563401,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),SK,39.696274556099105,0.0005059457641381418,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),SI,29.150793726026784,0.00037153916260088734,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),BG,27.035380442578663,0.0003445773279670201,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
SE,Construction work (45),CY,15.5158513621149,0.0001977560705996507,78459.54521176811,0.0,economic_importance,78459.54521176819,M.EUR
