account,indicator,region,sector,value,share_of_region_total,rank,unit
CBA,economic_importance,SE,Health and social work services (85),60441.09048122,0.12468795087059945,1,M.EUR
CBA,economic_importance,SE,Construction work (45),57700.6658621867,0.11903454641442446,2,M.EUR
CBA,economic_importance,SE,Real estate services (70),45701.9112872057,0.0942815164965001,3,M.EUR
CBA,economic_importance,SE,Education services (80),31241.356603786793,0.06444987518142503,4,M.EUR
CBA,economic_importance,SE,Computer and related services (72),25365.892779729256,0.05232898955869291,5,M.EUR
CBA,economic_importance,SE,Public administration and defence services; compulsory social security services (75),22909.817870477687,0.04726218905623629,6,M.EUR
CBA,economic_importance,SE,Membership organisation services n.e.c. (91),20456.75807747164,0.042201608637886315,7,M.EUR
CBA,economic_importance,SE,Supporting and auxiliary transport services; travel agency services (63),20138.603056772135,0.04154526545687537,8,M.EUR
CBA,economic_importance,SE,Hotel and restaurant services (55),16414.736724983624,0.03386305359521154,9,M.EUR
CBA,economic_importance,SE,Post and telecommunication services (64),13404.081885068164,0.027652173219313094,10,M.EUR
CBA,economic_importance,SE,Machinery and equipment n.e.c. (29),12026.282055027787,0.02480981818981583,11,M.EUR
CBA,economic_importance,SE,"Recreational, cultural and sporting services (92)",10887.575563313349,0.022460704731331178,12,M.EUR
CBA,economic_importance,SE,"Motor vehicles, trailers and semi-trailers (34)",9774.524347358332,0.020164517249826645,13,M.EUR
CBA,economic_importance,SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",9514.321778750766,0.019627728041812193,14,M.EUR
CBA,economic_importance,SE,Food products nec,7871.277603240851,0.01623818278703456,15,M.EUR
CBA,economic_importance,SE,Research and development services (73),6942.479203280754,0.014322102710701392,16,M.EUR
CBA,economic_importance,SE,Other land transportation services,6785.1730143207205,0.013997585297059023,17,M.EUR
CBA,economic_importance,SE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",6274.31058939081,0.012943693177738507,18,M.EUR
CBA,economic_importance,SE,"Insurance and pension funding services, except compulsory social security services (66)",6119.072052321358,0.012623441260884792,19,M.EUR
CBA,economic_importance,SE,"Financial intermediation services, except insurance and pension funding services (65)",5714.139763951446,0.0117880794751163,20,M.EUR
CBA,economic_importance,SE,Furniture; other manufactured goods n.e.c. (36),4572.128163270207,0.009432147687227043,21,M.EUR
CBA,economic_importance,SE,"Fabricated metal products, except machinery and equipment (28)",4053.147682015563,0.008361508288859707,22,M.EUR
CBA,economic_importance,SE,Electrical machinery and apparatus n.e.c. (31),4002.3721066360476,0.008256759972806166,23,M.EUR
CBA,economic_importance,SE,Other business services (74),3992.3842360814215,0.00823615532945672,24,M.EUR
CBA,economic_importance,SE,"Plastics, basic",3968.3596002462,0.00818659330817524,25,M.EUR
CBA,economic_importance,SE,Other services (93),3716.1953820159374,0.007666386948500317,26,M.EUR
