region,sector,CBA_M.EUR
SE,Construction work (45),75368.34650851248
SE,Health and social work services (85),51375.0196010059
SE,Education services (80),43249.68397819785
SE,Computer and related services (72),32520.62948764887
SE,Public administration and defence services; compulsory social security services (75),30697.370776572636
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",21339.42995077519
SE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",15054.782793873583
SE,Air transport services (62),14889.700378090372
SE,"Financial intermediation services, except insurance and pension funding services (65)",14757.582128844384
SE,Food products nec,11377.272386112443
SE,Renting services of machinery and equipment without operator and of personal and household goods (71),10723.778185857485
SE,"Insurance and pension funding services, except compulsory social security services (66)",7800.215725211852
SE,Membership organisation services n.e.c. (91),7583.457121531616
SE,Machinery and equipment n.e.c. (29),6764.222481363886
SE,Distribution and trade services of electricity,6735.806589197391
