region,sector,CBA_kt CO2e
CH,Hotel and restaurant services (55),85056.2961152373
CH,Dairy products,54878.450199394414
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",45107.69860905208
SE,Construction work (45),40231.64754962543
SE,Education services (80),28963.185269592817
CH,Public administration and defence services; compulsory social security services (75),28713.63847635711
SE,Dairy products,25410.11747964687
CH,Food products nec,25264.513991221276
SE,Health and social work services (85),23858.58380864536
SE,Computer and related services (72),21555.33955288503
SE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",19300.558973619274
SE,Public administration and defence services; compulsory social security services (75),17748.877236691278
CH,Wearing apparel; furs (18),12397.167683087091
CH,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",12194.50926820714
DE,Dairy products,11578.187124006814
