sector,CBA_kt
Construction work (45),98092.27165659425
Precious metal ores and concentrates,23100.55376847861
Food products nec,12670.32625263327
Products of meat cattle,7352.273912002668
"Motor vehicles, trailers and semi-trailers (34)",6985.453600291119
Hotel and restaurant services (55),6954.924827760392
Health and social work services (85),6106.230717298472
Public administration and defence services; compulsory social security services (75),5803.251103838014
Education services (80),5799.528544561703
Machinery and equipment n.e.c. (29),5591.612671609451
