sector,PBA_M.EUR
Other business services (74),43512.65576883715
Other land transportation services,41714.192326808814
Health and social work services (85),41549.74805136261
Computer and related services (72),38792.1723868153
Construction work (45),36702.379087547626
Education services (80),28119.788818404835
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",24119.16194548183
Public administration and defence services; compulsory social security services (75),22277.396241720828
Machinery and equipment n.e.c. (29),21778.644437122766
"Financial intermediation services, except insurance and pension funding services (65)",16378.248690356333
