sector,CBA_top_sectors_M.EUR
Construction work (45),78459.54521181437
Health and social work services (85),52752.34742208957
Education services (80),44026.6571170934
Computer and related services (72),37398.323859683456
Public administration and defence services; compulsory social security services (75),31643.410611041094
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",22002.95976456335
Food products nec,19209.546817954564
Air transport services (62),18452.202807303325
Machinery and equipment n.e.c. (29),17742.303824660165
"Motor vehicles, trailers and semi-trailers (34)",17601.351220920107
