source,kt CO2e
Switzerland — Hotel and restaurant services (55),85056.29611523729
Switzerland — Dairy products,54878.450199394414
"Sweden — Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",45107.698609052095
Sweden — Construction work (45),40231.64754962542
Sweden — Education services (80),28963.18526959281
Switzerland — Public administration and defence services; compulsory social security services (75),28713.63847635711
Sweden — Dairy products,25410.11747964687
Switzerland — Food products nec,25264.51399122127
Sweden — Health and social work services (85),23858.58380864536
Sweden — Computer and related services (72),21555.339552885034
"Sweden — Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",19300.558973619278
Sweden — Public administration and defence services; compulsory social security services (75),17748.877236691278
Switzerland — Wearing apparel; furs (18),12397.167683087091
"Switzerland — Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",12194.509268207139
Germany — Dairy products,11578.187124006816
Switzerland — Textiles (17),9064.988740212166
Switzerland — Post and telecommunication services (64),9059.880431018302
Sweden — Food products nec,8829.891212130611
Germany — Hotel and restaurant services (55),8667.303177979229
Sweden — Renting services of machinery and equipment without operator and of personal and household goods (71),8510.418121425775
Switzerland — Research and development services (73),7611.341272116313
Italy — Dairy products,7444.752892650042
Ireland — Computer and related services (72),6997.794111099657
"Sweden — Financial intermediation services, except insurance and pension funding services (65)",6800.494362083132
Sweden — Sea and coastal water transportation services,6404.870637602389
