sector,kt CO2e
Paper for treatment: landfill,6245.776483814471
Food waste for treatment: landfill,5955.943085924998
Raw milk,3909.9780196795
Cattle,2389.1105811094003
"Cement, lime and plaster",1255.3922269221998
Cereal grains nec,1064.7170681574198
Wheat,581.68412309424
Plastic waste for treatment: landfill,478.9442489635332
Oil seeds,261.56260436484
Food waste for treatment: composting and land application,252.58392566854798
Pigs,227.69589597853997
Poultry,223.93934305051997
Textiles waste for treatment: landfill,218.48360061258518
Stone,179.75639213730238
Sand and clay,175.07213846604
