sector,kt CO2e
Hotel and restaurant services (55),117781.79493910127
Dairy products,109780.41347085914
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",57846.03413229661
Food products nec,55492.536936318305
Public administration and defence services; compulsory social security services (75),47172.9442666148
Construction work (45),44312.00442390837
Computer and related services (72),32152.199860024306
Education services (80),30993.313095861544
Health and social work services (85),27101.433894056863
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",25988.949833174687
"Motor vehicles, trailers and semi-trailers (34)",19817.869118182363
Wearing apparel; furs (18),17584.181882018533
Textiles (17),16988.715925371616
Machinery and equipment n.e.c. (29),13867.649050296102
Post and telecommunication services (64),13453.694150860812
