source,M.EUR
Sweden — Construction work (45),75368.34650851248
Sweden — Health and social work services (85),51375.0196010059
Sweden — Education services (80),43249.68397819785
Sweden — Computer and related services (72),32520.62948764887
Sweden — Public administration and defence services; compulsory social security services (75),30697.370776572636
"Sweden — Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",21339.42995077519
"Sweden — Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",15054.782793873583
Sweden — Air transport services (62),14889.700378090372
"Sweden — Financial intermediation services, except insurance and pension funding services (65)",14757.582128844384
Sweden — Food products nec,11377.272386112443
Sweden — Renting services of machinery and equipment without operator and of personal and household goods (71),10723.778185857485
"Sweden — Insurance and pension funding services, except compulsory social security services (66)",7800.215725211852
Sweden — Membership organisation services n.e.c. (91),7583.457121531616
Sweden — Machinery and equipment n.e.c. (29),6764.222481363886
Sweden — Distribution and trade services of electricity,6735.806589197391
Sweden — Other services (93),6193.693772452741
Sweden — Sea and coastal water transportation services,6173.531646817637
"Sweden — Plastics, basic",5878.346788817993
"Germany — Motor vehicles, trailers and semi-trailers (34)",5330.716352190286
Sweden — Other business services (74),5056.5293717905215
