sector,M.EUR
Other business services (74),43512.65576886489
Other land transportation services,41714.192326816905
Health and social work services (85),41549.74805136299
Computer and related services (72),38792.17238681
Construction work (45),36702.379087574
Education services (80),28119.788818430003
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",24119.161945459542
Public administration and defence services; compulsory social security services (75),22277.3962416972
Machinery and equipment n.e.c. (29),21778.644437126997
"Financial intermediation services, except insurance and pension funding services (65)",16378.248690354001
Hotel and restaurant services (55),16291.626611069001
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",16156.053208591706
Real estate services (70),14807.42382498205
"Motor vehicles, trailers and semi-trailers (34)",14659.810934095001
Air transport services (62),14431.744073678
