sector,M.EUR
Construction work (45),78459.54521176813
Health and social work services (85),52752.34742208903
Education services (80),44026.657117058116
Computer and related services (72),37398.32385968247
Public administration and defence services; compulsory social security services (75),31643.41061107472
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",22002.959764510906
Food products nec,19209.5468179433
Air transport services (62),18452.20280731785
Machinery and equipment n.e.c. (29),17742.303824648465
"Motor vehicles, trailers and semi-trailers (34)",17601.351220915796
"Financial intermediation services, except insurance and pension funding services (65)",16508.34501294297
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",15333.832418028856
Hotel and restaurant services (55),13933.993741641496
Renting services of machinery and equipment without operator and of personal and household goods (71),10771.11960509328
"Insurance and pension funding services, except compulsory social security services (66)",8437.618205963021
