source,kt CO2e
Switzerland — Hotel and restaurant services (55),85058.38820328972
Switzerland — Dairy products,54878.51355256504
"Sweden — Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",45243.32640514018
Sweden — Construction work (45),42673.81834416958
Sweden — Education services (80),29190.555320039457
Switzerland — Public administration and defence services; compulsory social security services (75),28714.609765302546
Sweden — Dairy products,25505.750211575265
Switzerland — Food products nec,25268.080915254362
Sweden — Health and social work services (85),24072.91865261439
Sweden — Computer and related services (72),21679.396527324086
"Sweden — Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",19398.324460202184
Sweden — Public administration and defence services; compulsory social security services (75),17956.015270591084
Switzerland — Wearing apparel; furs (18),12397.64477684744
"Switzerland — Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",12195.378849365587
Germany — Dairy products,11580.496329976271
Switzerland — Textiles (17),9065.36579203841
Switzerland — Post and telecommunication services (64),9060.75866578022
Sweden — Food products nec,8951.185418467458
Germany — Hotel and restaurant services (55),8669.726492511054
Sweden — Renting services of machinery and equipment without operator and of personal and household goods (71),8573.64222912238
