sector,kt CO2e
Paper for treatment: landfill,6245.778126117243
Food waste for treatment: landfill,5955.944382451998
Raw milk,3910.1135870025
"Cement, lime and plaster",2499.6347184003994
Cattle,2421.4229143145003
Cereal grains nec,1103.63342876506
Wheat,581.96661487292
Plastic waste for treatment: landfill,478.9445124393664
Oil seeds,261.56492515688
Food waste for treatment: composting and land application,252.58774530719597
Stone,232.10257263080712
Pigs,227.69877253781996
Poultry,223.96205558795998
Textiles waste for treatment: landfill,218.48375368597038
Sand and clay,178.46498121594
