sector,kt CO2e
Hotel and restaurant services (55),117985.66085814808
Dairy products,109901.09624015755
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",57992.87447210336
Food products nec,55768.51800762221
Public administration and defence services; compulsory social security services (75),47399.01460004621
Construction work (45),47025.04356671903
Computer and related services (72),32318.578851258288
Education services (80),31231.71450455166
Health and social work services (85),27332.680540756828
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",26091.766300131207
"Motor vehicles, trailers and semi-trailers (34)",20208.83870079811
Wearing apparel; furs (18),17753.73218522889
Textiles (17),17204.006742325742
Machinery and equipment n.e.c. (29),14155.00116674665
Post and telecommunication services (64),13497.431105023683
