source,kt
Sweden — Construction work (45),94230.44682245102
Sweden — Precious metal ores and concentrates,23100.553768468708
Sweden — Food products nec,6392.751673923296
Sweden — Health and social work services (85),5637.16411888946
Sweden — Education services (80),5567.568973402147
Sweden — Public administration and defence services; compulsory social security services (75),5180.781927901338
Sweden — Products of meat cattle,4943.490293212202
"Sweden — Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",3224.577206521732
Sweden — Dairy products,3074.8734853081132
Sweden — Computer and related services (72),3056.308535626912
"Sweden — Products of forestry, logging and related services (02)",2828.7836434528786
"Sweden — Lead, zinc and tin ores and concentrates",2582.076397851001
Rest of Asia — Wearing apparel; furs (18),2261.021329137817
"Sweden — Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",2192.803889825599
Rest of Asia — Hotel and restaurant services (55),1951.1110398959586
Sweden — Gas/Diesel Oil,1904.034198783877
"Sweden — Plastics, basic",1828.0259006336655
Sweden — Machinery and equipment n.e.c. (29),1639.4782009967314
Sweden — Sea and coastal water transportation services,1580.1573532607074
Sweden — Renting services of machinery and equipment without operator and of personal and household goods (71),1548.7968607696712
