sector,kt
Sand and clay,122575.24183038
Iron ores,44252.6294602
"Products of forestry, logging and related services (02)",42530.26182197
Copper ores and concentrates,26748.7192742
Precious metal ores and concentrates,10459.63619232
Cattle,7216.828360452999
Stone,6074.014678028
"Lead, zinc and tin ores and concentrates",3769.924655553
Wheat,3098.35245877
"Sugar cane, sugar beet",2130.4241966
Cereal grains nec,2028.56169641
Raw milk,1839.9938808471002
Meat animals nec,1798.4430071705
Poultry,1613.142436586
"Vegetables, fruit, nuts",1352.3317853086
