region,sector,Value added (M EUR),GHG total (kt CO2e),Material total (kt)
DE,Machinery and equipment n.e.c. (29),1881.194196983185,,
US,Other business services (74),1871.589616714464,,
DK,Hotel and restaurant services (55),1726.3806254618812,,
US,Hotel and restaurant services (55),1685.3339642290723,,
DE,"Motor vehicles, trailers and semi-trailers (34)",1607.3626652855023,,
DE,Other business services (74),1400.9035246435421,,
GB,Other business services (74),1187.6160790876431,,
ES,Hotel and restaurant services (55),990.065020475563,,
RU,"Crude petroleum and services related to crude oil extraction, excluding surveying",929.5151741636564,1831.9551886328122,4060.7217626538195
DE,"Fabricated metal products, except machinery and equipment (28)",910.2171547122686,,
NO,"Crude petroleum and services related to crude oil extraction, excluding surveying",888.6003319154819,,1735.6555000331093
NL,Other business services (74),885.6867835000471,,
WA,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",873.124584985491,,
DE,Hotel and restaurant services (55),865.8863885631681,,
WA,Hotel and restaurant services (55),785.8774675867561,,
CN,Electricity by coal,,1666.938154494605,
PL,Basic iron and steel and of ferro-alloys and first products thereof,,1029.8657235601802,
DE,Sea and coastal water transportation services,,860.1041861890511,
CN,Basic iron and steel and of ferro-alloys and first products thereof,,789.5782937593937,
RU,Transportation services via pipelines,,743.0601969868952,
WA,Paddy rice,,700.8391658763564,
DK,"Crude petroleum and services related to crude oil extraction, excluding surveying",,700.274239941353,
CN,Chemicals nec,,649.8681189701066,
RU,Chemicals nec,,589.4398734749647,
WM,"Crude petroleum and services related to crude oil extraction, excluding surveying",,564.8752078226987,
DE,Electricity by coal,,561.7850689651034,
WA,"Crude petroleum and services related to crude oil extraction, excluding surveying",,555.8762933919553,
RU,"Natural gas and services related to natural gas extraction, excluding surveying",,522.4233420164543,
WF,"Crude petroleum and services related to crude oil extraction, excluding surveying",,505.206582497602,
CN,Sand and clay,,,8506.979691179136
DK,Sand and clay,,,4052.0789131144006
PL,Sand and clay,,,3506.9648894180536
WA,Sand and clay,,,2289.584769689136
IN,Sand and clay,,,2078.3288326161914
DE,Stone,,,1651.9504122760227
DE,Sand and clay,,,1612.1345421540657
NO,Stone,,,1479.537266481364
IE,Cattle,,,1418.7677540232553
WF,Cattle,,,1417.926698818531
WA,Cattle,,,1411.2998875158423
DE,Cattle,,,1362.652620447079
BR,Copper ores and concentrates,,,1351.7076382052317
