Source country,Direct expenditure (M EUR),GHG total (kt CO2e),Material total (kt)
SE,392949.97127980937,27246.798461051392,99243.52875181353
DE,14396.864004644834,4395.127298711891,6899.940389133181
DK,7574.357986106272,2997.0287769577167,8014.03839538585
US,5182.649674037515,2434.3098152800053,3836.7536409842805
WA,5132.154025456056,6780.112476628,11103.950521780276
GB,4941.433045073848,1881.8933001867101,2580.0746367320926
NO,4365.256270193124,2510.0425889253397,5733.538138147825
FR,4029.695491322349,1266.975434916145,1881.168583987871
IE,3813.48021217378,850.8437490231249,2097.680273555455
CN,3777.208721693134,6840.198916249398,14261.025157862407
NL,3681.779674955258,1615.7214089947888,1719.4865111812364
PL,3612.1442201166865,3905.8683624286227,7842.991856487307
FI,3267.844627818009,1995.0114156435277,2464.8491699329616
IT,3209.9998457719266,1027.1547332585842,1247.468398577142
ES,2801.8013473174906,923.9969981231451,1576.807884969742
BE,2329.2530316491748,740.6610734423906,1261.7632088965795
CH,1387.6505831053432,146.74629661901122,179.83528621467764
TR,1319.8600993248665,927.4238400615833,1944.1102950458405
CZ,1207.4380568861275,652.9656799114226,925.2036139247549
WF,1161.8494295724663,2545.35259015599,5247.723033265581
HU,1079.2106621648422,342.35602033083063,585.7854166967807
WM,1077.391299624966,2817.3091719461304,3156.7638604120693
IN,1040.3327790833773,2118.812961592192,5978.795171702483
AT,927.7380664952551,283.2624707423003,447.60962531756627
EE,823.6053828932016,685.1830147547602,1713.5221552741705
AU,811.7914168866482,798.2454158449091,2990.1123176003634
GR,790.5239464898779,578.6036345753826,1570.484242439762
CA,761.4079540334034,612.6868903335738,1114.069518758501
LT,633.1730918626128,472.6601062957223,1531.74227151655
PT,584.7669611930393,377.0899751888769,600.948121366407
LU,579.4557523762986,113.41703191062736,31.096168594319938
RU,577.9750478520658,6335.934080861868,7574.531512070703
WE,550.3628812638804,1538.8183189774913,2118.3316465375706
WL,510.96681522540115,1129.8981956329121,4227.957362784067
JP,506.8766965263557,680.693391635403,151.37137491403038
SK,471.69450848966585,186.37048069884713,289.16893262309634
KR,343.95839500737503,564.2671548045145,220.53883053445912
LV,313.9556147477298,481.4796671153866,1532.090425427966
TW,313.94488959619554,429.76177166753996,101.56123881033841
RO,297.4207690220297,213.6141777376027,1478.9653428956242
MX,274.81051105807984,240.0700569334872,423.8592983768322
SI,239.92880033265723,87.99543604369144,106.52808691997383
BR,225.80642535028292,733.506092371556,3124.0745306104614
BG,221.47325141155116,208.79092473001157,594.86899063855
ID,167.11003303359823,450.59715040275756,1378.824214480907
ZA,166.78303085986872,529.1969522660786,1092.9864852039136
HR,163.37070588792957,121.66600203364081,169.00296551536883
MT,97.9492227615416,16.856793970833543,16.47118888593753
CY,42.34588396308961,42.72542108945564,11.30498478091004
