Product sector consumed,Value added embodied (M EUR),GHG total (kt CO2e),Biomass (kt),Fossil (kt),Metals (kt),Minerals (kt),Material total (kt)
Additives/Blending Components,0.020143756285172877,0.014135315192647864,0.0005994795682842446,0.0006393411800406731,0.0008943863713591119,0.0015446272274162096,0.0036778343471002397
Air transport services (62),3548.9009795670913,2760.351372146793,113.21744280271302,337.530487007061,82.55120613327291,236.1651649938777,769.4643009369247
Aluminium and aluminium products,15.172035886212786,14.762485725039346,1.1915529457368823,2.6048323016074044,3.4045785048114734,6.762318034705881,13.963281786861641
Aluminium ores and concentrates,0.0023322255959398377,0.006363165018906909,0.0001336995277509375,0.0005125963411891837,0.003839539042843492,0.0003222685055988671,0.00480810341738248
Animal products nec,9.161012899803476,20.61046029549645,7.778588262290444,1.0875047512331792,0.22141239301234109,1.3888395005266767,10.476344907062641
Anthracite,4.3870334537028605e-08,1.3856752996838454e-07,5.6991086897636384e-09,3.1046267967304673e-07,3.421720725791274e-09,8.537342430264777e-09,3.281208515188664e-07
"Ash for treatment, Re-processing of ash into clinker",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aviation Gasoline,0.07626641792437111,0.16326550758309685,0.008187908265053327,0.07332010730877636,0.03017161341880947,0.0454386706568541,0.15711829964949325
BKB/Peat Briquettes,3.467806236380981e-07,1.4199847455729977e-06,7.19045277701036e-08,7.783692040353495e-07,3.2504402615264126e-08,8.928648223274381e-08,9.720646166534609e-07
Basic iron and steel and of ferro-alloys and first products thereof,32.61971470820305,33.63574991941241,1.5817389382984348,9.467526933095602,31.471867816564252,8.857232935233707,51.378366623191994
Beverages,970.5130444266167,468.3581023371057,523.8477916705175,83.32436887929096,27.69491031359471,332.11289584563315,966.9799667090364
Biodiesels,1.184596790746175,3.038582271681916,0.16426189155774415,0.4145180144953836,0.09181331967603049,15.505009472951079,16.175602698680237
Biogas,15.242210288272476,27.204881784214674,0.5803703974849838,19.898294213639762,0.3817024472025611,1.5048441815164517,22.365211239843756
Biogasoline,0.40158366644278926,1.0199021890002666,0.05589440077962664,0.13923415364387745,0.036364008141210005,5.191730578217443,5.423223140782158
Bitumen,77.28558990241079,105.08920021650356,5.3336517534978345,89.85146874240874,5.754679300520766,35.77672922277669,136.71652901920402
Blast Furnace Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bottles for treatment, Recycling of bottles by direct reuse",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bricks, tiles and construction products, in baked clay",1.150284354091148,1.050816476863096,0.06530632065601367,0.1997892316783416,0.2629762000087961,1.7814060425654124,2.3094777949085636
Cattle,38.540904410118195,282.39264270935104,567.7175699325587,6.017168095623657,1.2221782288324474,6.740148319820665,581.6970645768356
"Cement, lime and plaster",15.131203877986824,16.033098170565506,0.5764274282030458,1.6358079411278363,3.5368513626626403,20.052559097180627,25.80164582917415
Ceramic goods,481.85616178900824,443.78637648470567,43.779479860250056,110.6216790870789,101.82304951138755,1893.151549509368,2149.375757968084
Cereal grains nec,61.65986741670005,76.86669933571645,183.90227195780625,17.15777685778168,3.2938534988071146,15.664432532261248,220.0183348466563
Charcoal,0.008343264258977644,0.0018933957297615615,0.0003126455003835066,0.0004683026619990745,0.0006744329063688528,0.0011057255409879973,0.0025611066097394313
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",134.81554607871158,80.99736652435169,8.599956918565466,8.419232425225463,37.65648900066767,1584.6369052805892,1639.3125836250479
Chemicals nec,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal Tar,0.002783609693363201,0.0014722773764288158,0.00017250855202534534,0.00016766266857624746,0.0015982899502374108,0.003549169492614451,0.005487630663453455
Coke Oven Coke,0.02335652777039045,0.13043657929862815,0.004284992416914918,0.0710387242767074,0.0053930409797257675,0.01853443589912403,0.09925119357247213
Coke oven gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coking Coal,0.021041216752182075,0.11886067960302973,0.0013170538594035354,0.3833880451719695,0.000985087437888875,0.0043542409672845785,0.39004442743654655
"Collected and purified water, distribution services of water (41)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computer and related services (72),25365.892779667618,2088.9043562769084,511.93238958060084,397.9103820378941,1066.2470465738309,965.7261409391402,2941.815959131466
Construction work (45),57700.66586237837,11672.612182809617,5813.975008429481,3177.268898370691,5526.87669131419,48822.76130504294,63340.88190315731
Copper ores and concentrates,31.582720430247626,13.662340492234927,0.7634845410860311,1.8944889562720302,430.88685036878,7.56148223928411,441.10630610542216
Copper products,133.18959050716407,63.689914400169656,4.717855773645742,25.031502769185916,801.3716976545059,24.638242888850677,855.7592990861882
Crops nec,484.4226314418672,364.59194012736253,216.64735826154984,49.40951675962123,13.157116115189446,83.10350245649096,362.3174935928515
"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dairy products,3497.7122467403324,3324.0509922994133,2602.1015237066854,299.95558841195793,94.89423805013841,558.6078153444819,3555.5591655132635
Distribution and trade services of electricity,3642.130457344607,284.815969236722,222.32092927646278,72.1799169092293,120.01160572340486,215.44981612739704,629.9622680364939
Distribution services of gaseous fuels through mains,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education services (80),31241.356603841366,1234.977922756361,627.6847020233072,260.7397480549201,215.28659437704877,519.7248647869096,1623.4359092421855
Electrical machinery and apparatus n.e.c. (31),4002.3721066402086,1414.4110289698929,217.236226009952,406.40159104266036,1038.5911332157416,963.3770481736643,2625.605998442018
Electricity by Geothermal,2.83802469424604e-07,9.743216989653528e-06,5.388408907241437e-09,1.5373626766827956e-08,1.374839529109832e-07,1.568046864424379e-07,3.1505067502749047e-07
Electricity by biomass and waste,179.96645119813155,65.24157573790066,26.16887449420103,13.915854192079733,8.570571849793058,15.68357063332729,64.33887116940112
Electricity by coal,0.14489955864989434,0.17247756229038783,0.011246250039579932,0.34000296482519443,0.011126579698743887,0.0629294871996644,0.4253052817631826
Electricity by gas,1.5710403063526557,10.546106027336542,0.028119815043329506,1.5395828119250914,0.032395875999740406,0.2257549675942412,1.8258534705624025
Electricity by hydro,1867.0762167921828,344.61629139387264,75.13059356600718,41.697095334394206,49.67933231012034,107.92358873625999,274.4306099467817
Electricity by nuclear,1455.422245177089,104.9636911715537,61.43039423061694,22.830917012744788,43.51265934071153,65.1912896431593,192.96526022723253
Electricity by petroleum and other oil derivatives,18.55991192489338,14.545317589279637,1.3018179715033147,12.448105115303905,1.071431391205631,3.3878103574700225,18.209164835482873
Electricity by solar photovoltaic,0.2937543447641961,0.26332196900566157,0.015671840363597176,0.017046169366324707,0.09474874746274152,1.2035219872491194,1.3309887444417827
Electricity by solar thermal,3.898960235477539e-07,3.1671311378548134e-07,5.114263468317578e-09,2.0653816366365005e-08,1.6389446905369295e-07,1.0034042615169102e-07,2.9000297504006653e-07
"Electricity by tide, wave, ocean",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity by wind,2.208731947988223,0.12871384271964967,0.016521222488429195,0.0411958137116136,0.012606524643979131,0.11716689116977014,0.18749045201379205
Electricity nec,3.271965225665966,47.556651775264825,0.19542682224808025,0.8224398775047856,0.15667174068918166,0.3573148000385937,1.531853240480641
Ethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0,0.0
