Consumer country,Gross output (M EUR),GHG total (kt CO2e),Material total (kt)
SE,700386.2110617969,27246.798461051403,99243.52875181366
DE,19575.643842832702,2124.0121528202308,7291.3154359911305
NO,19448.18351439266,1945.1329045290693,4011.7254225831384
US,15878.22737616096,2999.573899783537,8067.247043632998
CN,13686.726511332165,2079.2871350144806,7574.680840767758
GB,12022.67081285188,1559.222756814422,4193.111678195874
FR,11740.14150970766,1184.4459639183638,3774.003540626052
DK,10590.365930712218,993.5117627772456,2389.576640009701
FI,9173.134087219414,946.3365103918584,2105.682467466554
WA,6790.916869353719,1037.8432716048262,4176.496238786169
NL,6093.543493161787,633.6357523250844,2175.3772019496555
WM,5998.729683498066,1142.0226195461853,8456.607621207626
PL,5590.0923387471075,629.7789612243697,1706.1485559053958
BE,5124.377462338585,351.8467802426741,1410.6446066652934
IT,5075.75968503364,661.201992856079,2468.9719572633644
WL,4297.389412836597,685.6878059158182,1552.3849060476882
CH,4285.291084849194,324.0116206559722,676.0297879821572
IE,3634.0327493131053,590.0602528552698,870.0305429056739
ES,3630.8006110675046,575.1811983186778,1579.0807232383927
RU,3403.855852900134,441.86941494369887,1402.076779448441
CA,3300.485767489583,395.70209115593093,893.693042133829
JP,3286.011745310251,476.4922428488286,1524.2907656583895
WF,3231.426054852778,663.2371800541866,2347.315271938903
IN,2936.788850933838,646.7118402074258,1949.103611872694
KR,2695.1627079120235,372.7408012730475,910.8772637161212
BR,2290.355825486268,381.506225159913,760.266278818291
WE,2124.0935255189697,325.5558750938857,712.4128500913595
TR,2123.433574945777,389.43051696898044,1480.4261060326794
TW,1868.8852811500874,283.9121266454671,381.0193044561359
AT,1836.3244019518902,194.04188141936334,752.1909115100316
AU,1821.6104163621153,224.1696913998951,618.5218033584316
MX,1483.321152331828,256.1347387212862,507.43953023541974
CZ,1412.0075810188928,139.76396448707914,437.195886849822
LU,1353.1416437337168,60.146969702327766,208.17942556548283
HU,1192.6797491118318,147.81790546375515,352.5629239448138
ZA,1016.0167501430714,124.40868598778475,271.38312975493625
ID,929.3104823965239,155.88119293314395,550.9142708893619
PT,860.3040551596508,105.72326329472554,261.79450072708306
GR,766.8579704333882,140.6996689245549,199.20312510740402
EE,763.6887307091041,49.12373442962824,132.5477465238426
RO,678.8637381407109,115.73250828526508,358.30631434211807
SK,669.9273137195581,49.80775478931545,155.4654297175356
LT,524.305931288588,42.82243136934194,163.29754311609733
BG,385.6221528309344,38.51322506011732,70.86586551501944
SI,368.3424952602765,32.74043502632312,57.86415578589836
HR,287.50184126360296,28.989934923998703,59.4846483655182
LV,229.6076054094565,17.359624921793706,52.43332763986698
MT,56.787486653430186,4.4011721976976474,9.027745017399589
CY,0.0,0.8227916083501905,3.0791160108771694
