region,sector,Value added (M EUR),GHG total (kt CO2e),Material total (kt)
NO,Hotel and restaurant services (55),2551.5953310080204,,
US,Other business services (74),2449.005082660634,,
FR,Other business services (74),1951.1422152772989,,
CN,Other business services (74),1599.2035666793017,,
US,Machinery and equipment n.e.c. (29),1391.6642495795838,,
CN,"Motor vehicles, trailers and semi-trailers (34)",1376.8223135677636,,
DE,Other business services (74),1312.6420392169118,,
CN,Machinery and equipment n.e.c. (29),1196.2339456614268,,
NO,Other business services (74),1121.6446166909361,,
GB,Other business services (74),1094.1764345630284,,
US,"Motor vehicles, trailers and semi-trailers (34)",1064.3712942862708,,
US,Computer and related services (72),988.2600645805829,,
US,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",893.278018401206,,
WA,Other business services (74),865.0935029069706,,
FR,"Motor vehicles, trailers and semi-trailers (34)",841.9803520164131,,
US,Other transport equipment (35),,443.8764423140601,
US,Basic iron and steel and of ferro-alloys and first products thereof,,334.65752114767446,
US,Sea and coastal water transportation services,,332.54705017148194,
CN,Food waste for treatment: landfill,,327.2789935737843,
CN,Basic iron and steel and of ferro-alloys and first products thereof,,301.93643389094314,
CN,Paper for treatment: landfill,,212.5244658743658,
US,Food waste for treatment: landfill,,212.1980261983473,
US,Paper for treatment: landfill,,197.08481683242343,
DE,Basic iron and steel and of ferro-alloys and first products thereof,,186.70013815780564,
IE,Food waste for treatment: landfill,,185.23606101696285,
WM,Food waste for treatment: landfill,,182.90634495551203,
NO,Sea and coastal water transportation services,,176.75324008278884,
WL,Sea and coastal water transportation services,,174.90759326092228,
US,Secondary raw materials,,164.84430102926078,
DE,Food waste for treatment: landfill,,158.35744805934246,
WM,Iron ores,,,6045.672545505524
US,Iron ores,,,4611.199221039143
CN,Iron ores,,,3855.1865816919617
DE,Iron ores,,,2706.8403485718964
WA,Iron ores,,,2094.462770042629
DE,Copper ores and concentrates,,,1971.5543594575122
CN,Copper ores and concentrates,,,1904.8929304343897
FR,Iron ores,,,1679.4946361134769
US,Copper ores and concentrates,,,1597.9692854974064
GB,"Products of forestry, logging and related services (02)",,,1395.5547540291132
GB,Iron ores,,,1272.754397266183
NO,"Products of forestry, logging and related services (02)",,,1193.2804509364187
WM,"Products of forestry, logging and related services (02)",,,1124.815207569979
IN,Iron ores,,,1107.4302043514672
WF,Iron ores,,,1077.9860587894398
