Product sector,Gross output (M EUR),GHG total (kt CO2e),Biomass (kt),Fossil (kt),Metals (kt),Minerals (kt),Material total (kt)
Paddy rice,0.0,3.7382056976339596e-05,0.0,0.0,0.0,0.0,0.0
Wheat,736.808631255,598.9143231683635,1249.26802628,0.0,0.0,0.0,1249.26802628
Cereal grains nec,883.7405491,694.1971961673806,2315.5064134865,0.0,0.0,0.0,2315.5064134865
"Vegetables, fruit, nuts",481.960279642,76.38695951333769,1009.273520582531,0.0,0.0,0.0,1009.273520582531
Oil seeds,231.103363396,251.37472942367833,480.89028570520003,0.0,0.0,0.0,480.89028570520003
"Sugar cane, sugar beet",97.2005952023,69.23629874115012,1492.32249478,0.0,0.0,0.0,1492.32249478
Plant-based fibers,0.0,0.000197587986359428,0.0,0.0,0.0,0.0,0.0
Crops nec,448.692661543,157.98880967944638,3.53998081124,0.0,0.0,0.0,3.53998081124
Cattle,332.973874535,2283.721180898596,4696.797611764,0.0,0.0,0.0,4696.797611764
Pigs,967.400996167,163.24420156834293,126.2642214756,0.0,0.0,0.0,126.2642214756
Poultry,568.468566123,246.49526210500505,1133.009040095,0.0,0.0,0.0,1133.009040095
Meat animals nec,179.224918709,653.9578427898928,2737.1434565337,0.0,0.0,0.0,2737.1434565337
Animal products nec,66.5387173519,128.40224901763884,0.0,0.0,0.0,0.0,0.0
Raw milk,1710.7426907,2336.9019801461022,2217.3267342333,0.0,0.0,0.0,2217.3267342333
"Wool, silk-worm cocoons",0.46217719234,0.017287538208559463,0.0,0.0,0.0,0.0,0.0
Manure (conventional treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manure (biogas treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Products of forestry, logging and related services (02)",6197.03602316,423.8524084560015,32617.492949469997,0.0,0.0,0.0,32617.492949469997
Fish and other fishing products; services incidental of fishing (05),286.154427015,15.533589884557829,186.49384158369003,0.0,0.0,0.0,186.49384158369003
Anthracite,0.0,0.6664123703999383,0.0,0.0,0.0,0.0,0.0
Coking Coal,0.0,1.0478396197697402,0.0,0.0,0.0,0.0,0.0
Other Bituminous Coal,0.0,5.14613710511903,0.0,0.0,0.0,0.0,0.0
Sub-Bituminous Coal,0.0,0.2599743168789527,0.0,0.0,0.0,0.0,0.0
Patent Fuel,0.0,0.0272055843735032,0.0,0.0,0.0,0.0,0.0
Lignite/Brown Coal,0.0,0.6715374625377261,0.0,0.0,0.0,0.0,0.0
BKB/Peat Briquettes,0.0,0.09717782284037912,0.0,0.0,0.0,0.0,0.0
Peat,106.370377811,6.782633631666279,0.0,718.454849318,0.0,0.0,718.454849318
"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0,119.61637307532847,0.0,0.0,0.0,0.0,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",11.182298487,69.2090038391959,0.0,0.0,0.0,0.0,0.0
Natural Gas Liquids,0.0,22.68217025153323,0.0,0.0,0.0,0.0,0.0
Other Hydrocarbons,0.0,0.007528983244380108,0.0,0.0,0.0,0.0,0.0
Uranium and thorium ores (12),5.90256944396,3.2374590552073177,0.0,0.0,0.0,0.0,0.0
Iron ores,464.421348718,223.7017917551568,0.0,0.0,40887.9047967,0.0,40887.9047967
Copper ores and concentrates,1916.75123864,336.5525137171633,0.0,0.0,25079.4241322,0.0,25079.4241322
Nickel ores and concentrates,34.3018406,0.002805718939907044,0.0,0.0,0.0,0.0,0.0
Aluminium ores and concentrates,0.0,0.0005035398641169399,0.0,0.0,0.0,0.0,0.0
Precious metal ores and concentrates,62.5951309483,27.250918973811654,0.0,0.0,1467.479983802631,0.0,1467.479983802631
"Lead, zinc and tin ores and concentrates",505.998904792,41.468647838090924,0.0,0.0,3966.978381179,0.0,3966.978381179
Other non-ferrous metal ores and concentrates,24.0756402821,0.0448424728945924,0.0,0.0,25.4950538267,0.0,25.4950538267
Stone,1268.83006594,437.25707082183334,0.0,0.0,0.0,37734.4195002,37734.4195002
Sand and clay,1096.80669608,320.7629962695768,0.0,0.0,0.0,18744.51306887,18744.51306887
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",287.880961402,99.29003571938497,0.0,0.0,0.0,2415.884294092,2415.884294092
Products of meat cattle,1130.07816431,5.777083653869533,0.0,0.0,0.0,0.0,0.0
Products of meat pigs,1049.97993579,6.358696029150347,0.0,0.0,0.0,0.0,0.0
Products of meat poultry,856.029840042,8.84186270809456,0.0,0.0,0.0,0.0,0.0
Meat products nec,1755.54839503,38.72914780835527,0.0,0.0,0.0,0.0,0.0
products of Vegetable oils and fats,47.7223873291,1.1043853779532073,0.0,0.0,0.0,0.0,0.0
Dairy products,3963.37783013,134.50870991689533,0.0,0.0,0.0,0.0,0.0
Processed rice,14.8016557483,0.4555794943994135,0.0,0.0,0.0,0.0,0.0
Sugar,83.0922025312,16.608100830562254,0.0,0.0,0.0,0.0,0.0
Food products nec,7882.37128932,238.4959808605672,0.0,0.0,0.0,0.0,0.0
Beverages,1730.50937412,61.44884543395745,0.0,0.0,0.0,0.0,0.0
Fish products,163.365260331,59.62080973351151,0.0,0.0,0.0,0.0,0.0
Tobacco products (16),0.0,0.01061455400908728,0.0,0.0,0.0,0.0,0.0
Textiles (17),1344.78396496,10.898754353251032,0.0,0.0,0.0,0.0,0.0
Wearing apparel; furs (18),282.533486543,14.337463466236215,0.0,0.0,0.0,0.0,0.0
Leather and leather products (19),202.296600106,0.5154339916343058,0.0,0.0,0.0,0.0,0.0
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),13364.0235842,421.2444171016625,0.0,0.0,0.0,0.0,0.0
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulp,2767.57843613,400.8480470745117,0.0,0.0,0.0,0.0,0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper and paper products,11260.0294587,800.2172772336086,0.0,0.0,0.0,0.0,0.0
Printed matter and recorded media (22),9219.46242116,107.57779394785005,0.0,0.0,0.0,0.0,0.0
Coke Oven Coke,97.5995527962,202.35464147435013,0.0,0.0,0.0,0.0,0.0
Gas Coke,0.0,0.0007738179509367611,0.0,0.0,0.0,0.0,0.0
Coal Tar,0.315208679012,0.09488519631100173,0.0,0.0,0.0,0.0,0.0
Motor Gasoline,2701.14382732,700.0068781480841,0.0,0.0,0.0,0.0,0.0
Aviation Gasoline,0.0810516992481,0.09661203850521566,0.0,0.0,0.0,0.0,0.0
Gasoline Type Jet Fuel,0.0,0.06457851324005442,0.0,0.0,0.0,0.0,0.0
Kerosene Type Jet Fuel,102.600039825,36.83218099764263,0.0,0.0,0.0,0.0,0.0
Kerosene,32.1109772192,2.524813550864127,0.0,0.0,0.0,0.0,0.0
Gas/Diesel Oil,3195.88802032,828.1227598238479,0.0,0.0,0.0,0.0,0.0
Heavy Fuel Oil,1444.22862928,373.859971711538,0.0,0.0,0.0,0.0,0.0
Refinery Gas,12.331086758,3.3908360788829257,0.0,0.0,0.0,0.0,0.0
Liquefied Petroleum Gases (LPG),87.2406576561,31.014271814039596,0.0,0.0,0.0,0.0,0.0
Refinery Feedstocks,24.5048208854,8.05947241524969,0.0,0.0,0.0,0.0,0.0
Ethane,1.75784147084,0.3715148921303585,0.0,0.0,0.0,0.0,0.0
Naphtha,62.5125465756,19.396691070454786,0.0,0.0,0.0,0.0,0.0
White Spirit & SBP,30.3222724559,1.6387726198571115,0.0,0.0,0.0,0.0,0.0
Lubricants,144.964557979,38.46212595626907,0.0,0.0,0.0,0.0,0.0
Bitumen,122.127289834,49.833239797387975,0.0,0.0,0.0,0.0,0.0
Paraffin Waxes,3.79749229381,2.03383404695917,0.0,0.0,0.0,0.0,0.0
Petroleum Coke,7.20116095501,3.432739561640499,0.0,0.0,0.0,0.0,0.0
Non-specified Petroleum Products,51.0129547158,14.142788758428562,0.0,0.0,0.0,0.0,0.0
Nuclear fuel,1040.90756869,38.077642599097004,0.0,0.0,0.0,0.0,0.0
"Plastics, basic",7009.56350502,453.46035010468216,0.0,0.0,0.0,0.0,0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-fertiliser,0.872224310981,0.6439164263922134,0.0,0.0,0.0,0.0,0.0
P- and other fertiliser,2.44595524795,7.020318086999955,0.0,0.0,0.0,0.0,0.0
Chemicals nec,228.674382138,154.4005228109982,0.0,0.0,0.0,0.0,0.0
Charcoal,3.42437370939,0.08392373183170926,0.0,0.0,0.0,0.0,0.0
Additives/Blending Components,0.0201599172571,0.011775108832224471,0.0,0.0,0.0,0.0,0.0
Biogasoline,5.92746115018,11.249640604300659,0.0,0.0,0.0,0.0,0.0
Biodiesels,13.226829338,25.382826953181254,0.0,0.0,0.0,0.0,0.0
Other Liquid Biofuels,7.57656353183,14.473369456229403,0.0,0.0,0.0,0.0,0.0
Rubber and plastic products (25),6809.28180778,37.22898814989205,0.0,0.0,0.0,0.0,0.0
Glass and glass products,471.490257114,304.7749331898241,0.0,0.0,0.0,0.0,0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceramic goods,409.625211022,131.73745333931532,0.0,0.0,0.0,0.0,0.0
"Bricks, tiles and construction products, in baked clay",21.4732468064,40.83960215551536,0.0,0.0,0.0,0.0,0.0
"Cement, lime and plaster",2984.89134569,2157.7179445933466,0.0,0.0,0.0,0.0,0.0
"Ash for treatment, Re-processing of ash into clinker",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other non-metallic mineral products,388.39586984,173.42015365286747,0.0,0.0,0.0,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,7130.11372836,2443.2608019406252,0.0,0.0,0.0,0.0,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precious metals,273.659063767,1.7163094167750244,0.0,0.0,0.0,0.0,0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium and aluminium products,2135.19162301,352.28938886570825,0.0,0.0,0.0,0.0,0.0
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lead, zinc and tin and products thereof",756.398795007,41.986117934175496,0.0,0.0,0.0,0.0,0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copper products,6033.99082444,25.59004700318299,0.0,0.0,0.0,0.0,0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other non-ferrous metal products,129.926596606,16.727192914888356,0.0,0.0,0.0,0.0,0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foundry work services,915.302695341,288.47845211840826,0.0,0.0,0.0,0.0,0.0
"Fabricated metal products, except machinery and equipment (28)",16074.2136426,175.53360813109492,0.0,0.0,0.0,0.0,0.0
Machinery and equipment n.e.c. (29),28711.1577506,182.9050900376824,0.0,0.0,0.0,0.0,0.0
Office machinery and computers (30),1029.93086727,6.567672899860165,0.0,0.0,0.0,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),12423.7495166,35.3123673602655,0.0,0.0,0.0,0.0,0.0
"Radio, television and communication equipment and apparatus (32)",4239.99239522,10.615614442750692,0.0,0.0,0.0,0.0,0.0
"Medical, precision and optical instruments, watches and clocks (33)",9093.34640913,512.5376222100963,0.0,0.0,0.0,0.0,0.0
"Motor vehicles, trailers and semi-trailers (34)",30908.9932258,502.47423181723417,0.0,0.0,0.0,0.0,0.0
Other transport equipment (35),3198.46255544,2120.5442056661905,0.0,0.0,0.0,0.0,0.0
Furniture; other manufactured goods n.e.c. (36),5413.67190142,323.2484307544713,0.0,0.0,0.0,0.0,0.0
Secondary raw materials,1537.80609477,1466.4045761465995,0.0,0.0,0.0,0.0,0.0
"Bottles for treatment, Recycling of bottles by direct reuse",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity by coal,47.3435390965,9.575574385625117,0.0,0.0,0.0,0.0,0.0
Electricity by gas,54.1711937308,26.75383258471165,0.0,0.0,0.0,0.0,0.0
Electricity by nuclear,3672.86945283,79.24624617264855,0.0,0.0,0.0,0.0,0.0
Electricity by hydro,3348.25052297,560.1929263350042,0.0,0.0,0.0,0.0,0.0
Electricity by wind,174.556574922,458.0342255809033,0.0,0.0,0.0,0.0,0.0
Electricity by petroleum and other oil derivatives,47.0264790555,13.729318224820572,0.0,0.0,0.0,0.0,0.0
Electricity by biomass and waste,625.461589763,112.96334691427823,0.0,0.0,0.0,0.0,0.0
Electricity by solar photovoltaic,0.698450282885,0.45141506489585137,0.0,0.0,0.0,0.0,0.0
Electricity by solar thermal,6.76191275903e-06,4.608597262358364e-06,0.0,0.0,0.0,0.0,0.0
"Electricity by tide, wave, ocean",0.0,0.0023368915788563854,0.0,0.0,0.0,0.0,0.0
Electricity by Geothermal,0.000115936935088,0.0039609183101014436,0.0,0.0,0.0,0.0,0.0
Electricity nec,27.7239232943,396.4199338311551,0.0,0.0,0.0,0.0,0.0
Transmission services of electricity,2240.48285168,6.982157130780623,0.0,0.0,0.0,0.0,0.0
Distribution and trade services of electricity,6435.64810852,18.664707387626635,0.0,0.0,0.0,0.0,0.0
Coke oven gas,17.3409547844,21.622997605270385,0.0,0.0,0.0,0.0,0.0
Blast Furnace Gas,34.4616648758,41.99667179047386,0.0,0.0,0.0,0.0,0.0
Oxygen Steel Furnace Gas,0.640868511878,0.7422079704390819,0.0,0.0,0.0,0.0,0.0
Gas Works Gas,2.67610912105,3.2686713533235596,0.0,0.0,0.0,0.0,0.0
Biogas,38.5347936339,46.24238988153543,0.0,0.0,0.0,0.0,0.0
Distribution services of gaseous fuels through mains,328.414022095,401.858808804949,0.0,0.0,0.0,0.0,0.0
Steam and hot water supply services,3876.11327883,5524.129572228736,0.0,0.0,0.0,0.0,0.0
"Collected and purified water, distribution services of water (41)",3119.71819142,240.59228769261864,0.0,0.0,0.0,0.0,0.0
Construction work (45),75338.9060793,1172.927762728011,0.0,0.0,0.0,0.0,0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",5966.11274064,33.223745911899734,0.0,0.0,0.0,0.0,0.0
Retail trade services of motor fuel,613.710448681,82.5428723868119,0.0,0.0,0.0,0.0,0.0
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",24818.4164844,208.95528046947302,0.0,0.0,0.0,0.0,0.0
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",16993.8081296,161.48128701315034,0.0,0.0,0.0,0.0,0.0
Hotel and restaurant services (55),15673.0088546,237.73753411130406,0.0,0.0,0.0,0.0,0.0
Railway transportation services,6483.47662297,22.447387846012496,0.0,0.0,0.0,0.0,0.0
Other land transportation services,31279.1412215,91.26336319063518,0.0,0.0,0.0,0.0,0.0
Transportation services via pipelines,1062.57756507,37.90883594546695,0.0,0.0,0.0,0.0,0.0
Sea and coastal water transportation services,5028.91468547,2850.879697164763,0.0,0.0,0.0,0.0,0.0
Inland water transportation services,266.030402704,189.57391466507127,0.0,0.0,0.0,0.0,0.0
Air transport services (62),4671.0363545,1495.2457914523634,0.0,0.0,0.0,0.0,0.0
Supporting and auxiliary transport services; travel agency services (63),44819.461641,213.11549522599347,0.0,0.0,0.0,0.0,0.0
Post and telecommunication services (64),26592.1840115,89.60695304633124,0.0,0.0,0.0,0.0,0.0
"Financial intermediation services, except insurance and pension funding services (65)",16707.1148743,38.503260920920226,0.0,0.0,0.0,0.0,0.0
"Insurance and pension funding services, except compulsory social security services (66)",8136.7140701,140.2718095859316,0.0,0.0,0.0,0.0,0.0
Services auxiliary to financial intermediation (67),2130.88509229,28.364233728659745,0.0,0.0,0.0,0.0,0.0
Real estate services (70),57303.3094154,647.7049096694755,0.0,0.0,0.0,0.0,0.0
Renting services of machinery and equipment without operator and of personal and household goods (71),14560.5995493,463.6642095243186,0.0,0.0,0.0,0.0,0.0
Computer and related services (72),39335.8204242,663.9378632090932,0.0,0.0,0.0,0.0,0.0
Research and development services (73),10689.0513761,103.86907794978165,0.0,0.0,0.0,0.0,0.0
Other business services (74),71885.8353816,1380.2907582139762,0.0,0.0,0.0,0.0,0.0
Public administration and defence services; compulsory social security services (75),26471.1280072,70.7741536135688,0.0,0.0,0.0,0.0,0.0
Education services (80),32930.5175153,45.72126737225144,0.0,0.0,0.0,0.0,0.0
Health and social work services (85),61745.5085562,109.9896607060861,0.0,0.0,0.0,0.0,0.0
Food waste for treatment: incineration,476.705727733,67.76042070287458,0.0,0.0,0.0,0.0,0.0
Paper waste for treatment: incineration,475.238632313,30.145149032251183,0.0,0.0,0.0,0.0,0.0
Plastic waste for treatment: incineration,300.89806234,16.877042753386085,0.0,0.0,0.0,0.0,0.0
Intert/metal waste for treatment: incineration,2715.99083509,170.66469302077073,0.0,0.0,0.0,0.0,0.0
Textiles waste for treatment: incineration,106.896168498,9.741827553628271,0.0,0.0,0.0,0.0,0.0
Wood waste for treatment: incineration,412.836392374,24.27277406470713,0.0,0.0,0.0,0.0,0.0
Oil/hazardous waste for treatment: incineration,428.054716204,22.301804987656556,0.0,0.0,0.0,0.0,0.0
Food waste for treatment: biogasification and land application,21.2455655053,2.3835043624765917,0.0,0.0,0.0,0.0,0.0
Paper waste for treatment: biogasification and land application,3.5900181281,0.5005115494626086,0.0,0.0,0.0,0.0,0.0
Sewage sludge for treatment: biogasification and land application,261.57503351,13.31093855673104,0.0,0.0,0.0,0.0,0.0
Food waste for treatment: composting and land application,281.735937836,26.645330301767746,0.0,0.0,0.0,0.0,0.0
Paper and wood waste for treatment: composting and land application,0.00408558961176,0.0015817712427121915,0.0,0.0,0.0,0.0,0.0
Food waste for treatment: waste water treatment,174.051788659,65.01137083733067,0.0,0.0,0.0,0.0,0.0
Other waste for treatment: waste water treatment,287.608796383,132.5365919636189,0.0,0.0,0.0,0.0,0.0
Food waste for treatment: landfill,28.4688896083,4532.150324768107,0.0,0.0,0.0,0.0,0.0
Paper for treatment: landfill,95.5862337784,3235.747638496673,0.0,0.0,0.0,0.0,0.0
Plastic waste for treatment: landfill,21.8422964555,197.3848043217182,0.0,0.0,0.0,0.0,0.0
Inert/metal/hazardous waste for treatment: landfill,246.876900317,53.913645031328116,0.0,0.0,0.0,0.0,0.0
Textiles waste for treatment: landfill,3.44375171409,110.31542609525937,0.0,0.0,0.0,0.0,0.0
Wood waste for treatment: landfill,4.59440565658,48.96375071408661,0.0,0.0,0.0,0.0,0.0
Membership organisation services n.e.c. (91),20683.8806242,71.11003989201248,0.0,0.0,0.0,0.0,0.0
"Recreational, cultural and sporting services (92)",16179.0787055,27.107981635753,0.0,0.0,0.0,0.0,0.0
Other services (93),4364.87841106,247.61893787298035,0.0,0.0,0.0,0.0,0.0
Private households with employed persons (95),131.820280844,0.1556710560444711,0.0,0.0,0.0,0.0,0.0
Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0,0.0
